month,VolumeTo
50940-03,325803279.9626696
50942-12,165085567.58556616
50945-09,158756356.8176238
50948-06,264628967.06591076
50951-02,235584302.95256105
50953-11,159705204.50415567
50956-08,161915849.87310502
50959-05,170638519.2472785
50962-02,148205200.1077372
50964-11,124966229.52022897
50967-08,111847216.11708207
50970-04,88149249.09230462
50973-01,133876627.2465106
50975-10,111657372.69526468
50978-07,111034550.64066195
50981-04,115893501.27515878
50984-01,142198812.18914708
50986-10,126830380.4928724
50989-06,154778846.54236615
50992-03,115218950.31554872
50994-12,221789348.03469807
50997-09,137560743.6248598
51000-06,78908770.67658037
51003-03,92882249.46737902
51005-12,125631820.06705056
51008-08,122785440.2288754
51011-05,98504455.20666537
51014-02,106709136.97324342
51016-11,81699723.54479145
51019-08,81354185.90325992
51022-05,99767239.95381454
51025-01,69316548.76685554
51027-10,103804480.11605988
51030-07,88816396.34583545
51033-04,74037052.86632736
51036-01,62634926.45524528
51038-10,69841766.64693148
51041-07,80743416.84653682
51044-03,139258708.7643088
51046-12,100542807.46479908
51049-09,82521122.86191754
51052-06,101928346.97699684
51055-03,87075914.2326683
51057-12,62134037.97539881
51060-09,68801620.06241606
51063-05,80024258.22766612
51066-02,87491347.06381486
51068-11,120500703.0051573
51071-08,63611505.78657223
51074-05,170118212.46197885
51077-02,90488500.0676624
51079-11,84696423.96233752
51082-07,90731831.90427426
51085-04,106766439.99436474
51088-01,93350740.94830574
51090-10,78367545.57945932
51093-07,74938358.18352868
51096-04,70894921.80761532
51099-01,93426433.13226132
51101-09,242898012.76922593
51104-06,197091641.04739997
51107-03,142571564.56112987
51109-12,122714273.87417652
51112-09,94739322.74557024
51115-06,135782959.41827348
51118-03,244146803.51886997
51120-11,145285565.2031707
51123-08,109932596.10609365
51126-05,119564023.12004228
51129-02,124703738.39336836
51131-11,88851336.5211179
51134-08,74175357.77882297
51137-05,63791898.99159701
51140-01,129739738.23815794
51142-10,124945530.76214452
51145-07,95417637.5889866
51148-04,102585458.38333896
51151-01,135000852.01035947
51153-10,121353606.96803357
51156-07,90693949.72150733
51159-03,147721971.09446937
51161-12,104393849.44844826
51164-09,94680049.46033752
51167-06,104673038.77602254
51170-03,84919900.71744472
51172-12,114227606.40681696
51175-09,74893913.05776027
51178-05,89526258.38910636
51181-02,79503748.36263466
51183-11,94019734.23326428
51186-08,144010401.50845116
51189-05,79861943.8108997
51192-02,69169819.8628637
51194-10,68524082.74695624
51197-07,131507366.37512892
51200-04,115330070.99071544
51203-01,129681258.0162135
51205-10,80822230.57984656
51208-07,122585822.5865048
51211-04,79853835.581824
51213-12,55472147.12701675
51216-09,105388238.14788891
51219-06,489018726.75750667
51222-03,548900970.9178842
51224-12,301411332.0090243
51227-09,197660830.71096665
51230-06,210963411.61313188
51233-02,192916750.5719041
51235-11,260487077.7675668
51238-08,175633627.31637353
51241-05,210870034.51205528
51244-02,277736905.85749793
51246-11,166485761.0793121
51249-08,87375984.44461507
51252-04,92594930.42710131
51255-01,147687551.9414771
51257-10,123581651.71216355
51260-07,120972345.51821636
51263-04,118573129.86520116
51266-01,128937309.63806376
51268-10,101343660.15324436
51271-06,133929931.15068737
51274-03,156632202.9709961
51276-12,227154061.8577141
51279-09,262493252.9358424
51282-06,265091565.61466023
51285-03,259659705.6513858
51287-12,81749716.42174439
51290-08,76277087.37424076
51293-05,104822151.5144498
51296-02,117309839.23079813
51298-11,92194935.6047804
51301-08,124498567.2076544
51304-05,264435878.92811015
51307-02,228942582.4507792
51309-10,137653160.7660216
51312-07,144358553.85462248
51315-04,236176663.81792104
51318-01,136245255.5572078
51320-10,167489934.34358987
51323-07,231801342.4320928
51326-04,507216001.34340405
51328-12,619939454.4896551
51331-09,648012612.2927012
51334-06,611103206.0032725
51337-03,305196285.2755824
51339-12,557126171.2789642
51342-09,645676487.3744029
51345-06,271170511.0509332
51348-02,517729474.35844094
51350-11,517939277.868858
51353-08,413637782.3697456
51356-05,384730220.72195166
51359-02,381536239.5128484
51361-11,371381043.73160255
51364-07,227376280.5854076
51367-04,409616322.3884788
51370-01,452651204.9349024
51372-10,273791910.6314759
51375-07,292094591.01803863
51378-04,603312537.3808434
51381-01,373629673.9190144
51383-09,272098436.34069574
51386-06,241414596.71950516
51389-03,387155494.9730488
51391-12,582173398.3257968
51394-09,377635818.0044095
51397-06,282156410.54378915
51400-03,269125728.1416496
51402-11,179047320.02388045
51405-08,243970971.0244344
51408-05,287125339.97011447
51411-02,238031771.51747337
51413-11,333291726.6460002
51416-08,248418184.7720466
51419-05,333475488.55375946
51422-01,276420769.2933853
51424-10,574211342.9796603
51427-07,441567296.05926627
51430-04,470271954.2987056
51433-01,293748062.6668488
51435-10,323621848.1987617
51438-07,494783687.9853515
51441-03,1112069567.638115
